datetime,season,mask_shed,mask_up,Q_shed_kW,Q_up_kW,P_IT_kW,P_Cool_kW,P_Other_kW
2024-07-26 19:00:00,Summer,False,False,0.0,0.0,2523.169132087422,565.5879587539785,672.5229091585999
2024-07-26 19:15:00,Summer,False,False,0.0,0.0,2488.82749538634,564.9229800323247,663.3695245813352
2024-07-26 19:30:00,Summer,False,False,0.0,0.0,2487.850971346453,564.2397857869071,663.1092428666391
2024-07-26 19:45:00,Summer,False,False,0.0,0.0,2465.6654932415886,563.5385584412401,657.1959483171713
2024-07-26 20:00:00,Summer,False,False,0.0,0.0,2449.557879205342,562.8194793801038,652.9026414145545
2024-07-26 20:15:00,Summer,False,False,0.0,0.0,2455.0957441373566,563.4855576165263,654.3786982461171
2024-07-26 20:30:00,Summer,False,False,0.0,0.0,2451.274177051492,564.4857212686871,653.3601016798204
2024-07-26 20:45:00,Summer,False,False,0.0,0.0,2455.0313287538725,565.4871422101697,654.3615290359583
2024-07-26 21:00:00,Summer,False,False,0.0,0.0,2451.471775108209,566.1554556288675,653.4127692629236
2024-07-26 21:15:00,Summer,False,False,0.0,0.0,2473.774769616584,564.7878438695236,659.357386513893
2024-07-26 21:30:00,Summer,False,False,0.0,0.0,2438.211480025281,563.7501361448063,649.8783838299128
2024-07-26 21:45:00,Summer,False,False,0.0,0.0,2431.454475901835,562.7081452078364,648.0773788903283
2024-07-26 22:00:00,Summer,False,False,0.0,0.0,2438.60755917832,561.3284864610912,649.9839543605884
2024-07-26 22:15:00,Summer,False,False,0.0,0.0,2447.6160984007925,561.4388204460785,652.385081153129
2024-07-26 22:30:00,Summer,False,False,0.0,0.0,2421.805816635927,561.4885482052565,645.505635158817
2024-07-26 22:45:00,Summer,False,False,0.0,0.0,2444.552893269321,561.4784891273642,651.5686176033144
2024-07-26 23:00:00,Summer,False,False,0.0,0.0,2447.639282672753,561.4094566620801,652.3912606651669
2024-07-26 23:15:00,Summer,False,False,0.0,0.0,2441.213046358621,559.9485354036022,650.6784182377768
2024-07-26 23:30:00,Summer,False,False,0.0,0.0,2410.2681568969224,558.8214439218575,642.43039918122
2024-07-26 23:45:00,Summer,False,False,0.0,0.0,2396.001521704464,557.6906934066053,638.6277848889315
2024-07-27 00:00:00,Summer,False,False,0.0,0.0,2391.099081024179,556.2198255909799,637.3210933848409
2024-07-27 00:15:00,Summer,False,False,0.0,0.0,2385.402497845344,555.7547701998812,635.802731954775
2024-07-27 00:30:00,Summer,False,False,0.0,0.0,2408.511897886127,555.2858144057035,641.9622877081697
2024-07-27 00:45:00,Summer,False,False,0.0,0.0,2393.7258035420423,554.8129791508636,638.0212173070942
2024-07-27 01:00:00,Summer,False,False,0.0,0.0,2403.1978325067234,554.3362853137596,640.5458821795168
2024-07-27 01:15:00,Summer,False,False,0.0,0.0,2403.1630286566774,552.4603657462534,640.5366055970692
2024-07-27 01:30:00,Summer,False,False,0.0,0.0,2386.7139163983347,550.2538074926094,636.1522761090554
2024-07-27 01:45:00,Summer,False,False,0.0,0.0,2368.7440830472633,548.0533017699623,631.3626151827743
2024-07-27 02:00:00,Summer,False,False,0.0,0.0,2358.0869772600245,546.190941588828,628.5220811511474
2024-07-27 02:15:00,Summer,False,False,0.0,0.0,2361.272417261665,547.9164576806139,629.371125057721
2024-07-27 02:30:00,Summer,False,False,0.0,0.0,2345.0184250428147,549.3027722925411,625.0388026646442
2024-07-27 02:45:00,Summer,False,False,0.0,0.0,2349.993103063166,550.6821487016662,626.3647482351681
2024-07-27 03:00:00,Summer,False,False,0.0,0.0,2353.1914327751583,552.3913394729409,627.2172277519011
2024-07-27 03:15:00,Summer,False,False,0.0,0.0,2357.7661306953582,548.5173062673293,628.4365630373123
2024-07-27 03:30:00,Summer,False,False,0.0,0.0,2336.2899666385815,544.997705035666,622.7123283257527
2024-07-27 03:45:00,Summer,False,False,0.0,0.0,2354.2144094395494,541.4956996590248,627.4898909014254
2024-07-27 04:00:00,Summer,False,False,0.0,0.0,2351.1621223247694,537.6815402466635,626.676337428567
2024-07-27 04:15:00,Summer,False,False,0.0,0.0,2353.07988116948,537.1726239290323,627.1874949014876
2024-07-27 04:30:00,Summer,False,False,0.0,0.0,2356.2557741368605,536.9902317117853,628.0339941513545
2024-07-27 04:45:00,Summer,False,False,0.0,0.0,2362.4659188398305,536.8048414175367,629.6892397426328
2024-07-27 05:00:00,Summer,False,False,0.0,0.0,2350.7461590081066,536.2883739985532,626.5654669933401
2024-07-27 05:15:00,Summer,False,False,0.0,0.0,2349.6397440218475,535.7696916989556,626.2705642791967
2024-07-27 05:30:00,Summer,False,False,0.0,0.0,2363.4362140441553,535.5759247259496,629.9478612298952
2024-07-27 05:45:00,Summer,False,False,0.0,0.0,2345.400284682483,535.3791321766874,625.1405831408296
2024-07-27 06:00:00,Summer,False,False,0.0,0.0,2324.592627098076,534.8528414440691,619.5945314578555
2024-07-27 06:15:00,Summer,False,False,0.0,0.0,2364.4666458573997,536.1908426754616,630.2225114671386
2024-07-27 06:30:00,Summer,False,False,0.0,0.0,2348.278489864962,537.4937731408024,625.9077369942356
2024-07-27 06:45:00,Summer,False,False,0.0,0.0,2344.246006747696,538.7610701667635,624.8329230855409
2024-07-27 07:00:00,Summer,False,False,0.0,0.0,2347.821817917758,539.9921659598093,625.7860161224324
2024-07-27 07:15:00,Summer,False,False,0.0,0.0,2343.466268885295,543.5886385582133,624.6250925564915
2024-07-27 07:30:00,Summer,False,False,0.0,0.0,2331.615488582007,547.078113672726,621.4663977452668
2024-07-27 07:45:00,Summer,False,False,0.0,0.0,2338.0434567233037,550.4568415046051,623.179701772091
2024-07-27 08:00:00,Summer,False,False,0.0,0.0,2356.689422349471,553.7209993499443,628.1495783005847
2024-07-27 08:15:00,Summer,False,False,0.0,0.0,2360.041362683812,557.1556362813482,629.0430010348397
2024-07-27 08:30:00,Summer,False,False,0.0,0.0,2349.8894672265787,560.4134075277024,626.3371252457188
2024-07-27 08:45:00,Summer,False,False,0.0,0.0,2368.6854002013097,563.4876258814087,631.3469739172814
2024-07-27 09:00:00,Summer,False,False,0.0,0.0,2358.8287459924463,566.3714625802666,628.7197914272867
2024-07-27 09:15:00,Summer,False,False,0.0,0.0,2341.3732744925624,563.5194975268693,624.0672279805688
2024-07-27 09:30:00,Summer,False,False,0.0,0.0,2376.9748162856404,560.6687573472348,633.5564263671249
2024-07-27 09:45:00,Summer,False,False,0.0,0.0,2367.097122687613,557.8192412524365,630.9236360599501
2024-07-27 10:00:00,Summer,False,False,0.0,0.0,2378.441655390178,554.9709484542255,633.9473961555968
2024-07-27 10:15:00,Summer,False,False,0.0,0.0,2372.1563154654136,559.0915764274589,632.2721081071275
2024-07-27 10:30:00,Summer,False,False,0.0,0.0,2388.3696655294343,563.5167366885705,636.5935977819955
2024-07-27 10:45:00,Summer,False,False,0.0,0.0,2368.2108334970767,567.9286831076057,631.2204833953177
2024-07-27 11:00:00,Summer,False,False,0.0,0.0,2364.992288933126,572.0050952341699,630.3626158327044
2024-07-27 11:15:00,Summer,False,False,0.0,0.0,2376.277774290383,573.0715882000417,633.3706375095749
2024-07-27 11:30:00,Summer,False,False,0.0,0.0,2386.3061514106867,573.8102577412886,636.0435908480246
2024-07-27 11:45:00,Summer,False,False,0.0,0.0,2366.0206647659,574.5426171630747,630.6367180710247
2024-07-27 12:00:00,Summer,False,False,0.0,0.0,2368.225403270983,575.5902299211258,631.2243668078913
2024-07-27 12:15:00,Summer,False,False,0.0,0.0,2377.4017783997656,577.4079931897029,633.6702284105315
2024-07-27 12:30:00,Summer,False,False,0.0,0.0,2360.8534000125665,579.1671593569546,629.2594406304792
2024-07-27 12:45:00,Summer,False,False,0.0,0.0,2386.798632609007,580.8665111101493,636.174856280844
2024-07-27 13:00:00,Summer,False,False,0.0,0.0,2409.7601796512295,582.5048169009222,642.2950034478483
2024-07-27 13:15:00,Summer,False,False,0.0,0.0,2405.4645680523777,582.1853764037164,641.1500555439061
2024-07-27 13:30:00,Summer,False,False,0.0,0.0,2416.7941418866103,581.2760295952389,644.1698285181504
2024-07-27 13:45:00,Summer,False,False,0.0,0.0,2424.021001019452,579.8029308511524,646.0960681293958
