datetime,measured_kWh,IT,Cooling,Other,temperature,humidity,enthalpy
2024-11-29 04:00:00,719.04,567.7203902378365,0.0,151.31960976216345,-3.0,78.0,2.862473041054593
2024-11-29 04:15:00,721.44,569.6153181091244,0.0,151.82468189087564,-3.2,79.5,2.6849886383412938
2024-11-29 04:30:00,712.32,562.4145921982306,0.0,149.90540780176943,-3.4,81.0,2.5053341602219987
2024-11-29 04:45:00,708.0,559.0037220299125,0.0,148.99627797008753,-3.6,82.5,2.3235627070206535
2024-11-29 05:00:00,707.04,558.2457508813973,0.0,148.79424911860266,-3.8,84.0,2.1397264982465263
2024-11-29 05:15:00,709.92,560.5196643269427,0.0,149.40033567305724,-3.95,85.0,1.9917188031596966
2024-11-29 05:30:00,714.72,564.3095200695184,0.0,150.41047993048159,-4.1,86.0,1.8427988265990427
2024-11-29 05:45:00,719.04,567.7203902378365,0.0,151.31960976216345,-4.25,87.0,1.692984671774977
2024-11-29 06:00:00,723.36,571.1312604061546,0.0,152.22873959384538,-4.4,88.0,1.5422942071682924
2024-11-29 06:15:00,724.32,571.8892315546698,0.0,152.43076844533024,-4.58,88.75,1.3301117464177983
2024-11-29 06:30:00,720.96,569.2363325348668,0.0,151.72366746513322,-4.75,89.5,1.1321282982146563
2024-11-29 06:45:00,720.48,568.8573469606092,0.0,151.62265303939077,-4.92,90.25,0.9337449750542426
2024-11-29 07:00:00,734.88,580.2269141883363,0.0,154.65308581166374,-5.1,91.0,0.7204236540065274
2024-11-29 07:15:00,723.36,571.1312604061546,0.0,152.22873959384538,-4.95,91.25,0.9553428112416409
2024-11-29 07:30:00,738.24,582.8798132081392,0.0,155.36018679186077,-4.8,91.5,1.1913414182083661
2024-11-29 07:45:00,746.4,589.3225679705179,0.0,157.0774320294821,-4.65,91.75,1.4284317955589607
2024-11-29 08:00:00,773.28,610.5457601289417,0.0,162.7342398710583,-4.5,92.0,1.6666263885896617
2024-11-29 08:15:00,774.24,611.3037312774568,0.0,162.9362687225432,-3.98,89.0,2.229160685666937
2024-11-29 08:30:00,776.16,612.8196735744871,0.0,163.3403264255129,-3.45,86.0,2.798529751793279
2024-11-29 08:45:00,762.72,602.2080774952752,0.0,160.51192250472482,-2.92,83.0,3.3592994747944065
2024-11-29 09:00:00,748.8,591.2174958418057,0.0,157.58250415819427,-2.4,80.0,3.8959945754212204
2024-11-29 09:15:00,747.36,590.080539119033,0.0,157.27946088096698,-1.6,73.25,4.5225663322830645
2024-11-29 09:30:00,744.96,588.1856112477452,0.0,156.77438875225482,-0.8,66.5,5.101088775701523
2024-11-29 09:45:00,739.2,583.6377843566544,0.0,155.56221564334564,0.0,59.75,5.626998710457135
2024-11-29 10:00:00,740.64,584.774741079427,0.0,155.86525892057293,0.8,53.0,6.095441591261092
2024-11-29 10:15:00,746.88,589.7015535447755,0.0,157.17844645522453,1.4,51.75,6.804807473840805
2024-11-29 10:30:00,750.24,592.3544525645784,0.0,157.88554743542159,2.0,50.5,7.511906747447071
2024-11-29 10:45:00,754.56,595.7653227328965,0.0,158.79467726710345,2.6,49.25,8.216373076038305
2024-11-29 11:00:00,749.76,591.9754669903209,0.0,157.78453300967914,3.2,48.0,8.917818163074967
2024-11-29 11:15:00,756.0,596.9022794556693,0.0,159.09772054433077,3.45,48.0,9.272281133639835
2024-11-29 11:30:00,760.32,600.3131496239874,0.0,160.00685037601266,3.7,48.0,9.628399390204025
2024-11-29 11:45:00,760.32,600.3131496239874,0.0,160.00685037601266,3.95,48.0,9.986196187889826
2024-11-29 12:00:00,800.64,631.5955041929647,0.6996787713503182,168.34481703568503,4.2,48.0,10.345695062348533
2024-11-29 12:15:00,795.84,627.9296232768571,0.5426598219582053,167.36771690118474,4.08,48.75,10.268115639158015
2024-11-29 12:30:00,805.92,636.037388719036,0.3538589055386308,169.52875237542528,3.95,49.5,10.174833482766212
2024-11-29 12:45:00,816.0,644.1471821868475,0.1624894156172858,171.69032839753518,3.82,50.25,10.080282253746798
2024-11-29 13:00:00,792.48,625.7051830992444,0.0,166.7748169007556,3.7,51.0,9.999022207788064
2024-11-29 13:15:00,796.32,628.6471159767592,0.11392735469307336,167.55895666854784,3.55,53.25,10.056288865114226
2024-11-29 13:30:00,798.72,630.4587854479184,0.21937736328506563,168.04183718879653,3.4,55.5,10.108389270025054
2024-11-29 13:45:00,794.4,626.9727948159208,0.3145203582046651,167.1126848258746,3.25,57.75,10.15539721839725
2024-11-29 14:00:00,807.36,637.1383059753027,0.3995042944344162,169.8221897302628,3.1,60.0,10.197385811358087
